Feliz,Neutral,Triste,Enfado,Asco,Sorpresa,Miedo
89,61,93,60,98,94,50
40,95,54,42,53,2,44
39,38,41,69,80,80,75
50,5,93,30,35,55,79
97,46,95,6,91,26,10
59,28,71,33,71,28,83
21,1,2,3,71,73,73
42,82,74,4,72,94,18
58,69,3,54,51,2,5
34,86,82,57,8,39,16
47,95,47,32,52,81,27
53,82,2,7,85,93,92
1,38,26,61,11,1,45
72,61,10,84,66,25,51
68,23,60,15,80,32,22
93,20,74,5,19,43,59
41,81,60,54,42,50,14
59,78,21,45,38,54,77
57,85,82,30,76,78,61
49,7,76,48,27,42,29
55,21,98,47,71,80,80
96,50,2,36,90,75,61
50,63,21,39,72,77,92
97,19,36,88,46,71,6
27,46,32,84,86,43,17
60,8,73,79,75,77,43
85,13,62,31,28,47,73
85,63,45,33,61,74,33
89,32,55,2,18,17,12
59,10,0,15,59,87,89
28,13,54,42,27,80,67
42,46,27,93,36,66,87
20,92,1,33,25,63,2
69,79,10,47,11,21,2
28,66,51,15,4,52,91
67,50,76,10,32,82,32
17,2,66,4,62,20,4
47,85,49,16,4,77,8
84,40,94,30,82,47,88
4,59,52,20,40,64,48
67,27,52,22,28,51,52
95,36,50,49,92,75,82
5,67,3,65,7,12,36
0,16,53,31,39,76,10
48,77,65,16,99,33,10
50,57,43,84,48,97,83
77,60,94,29,57,75,14
88,77,85,47,52,68,5
84,28,49,21,8,31,15
38,89,9,49,31,99,33
39,25,29,43,11,22,78
89,34,6,28,42,25,87
58,46,88,22,11,95,44
43,90,40,53,97,58,1
96,65,41,39,40,80,83
41,57,43,10,55,25,5
15,47,7,65,80,6,9
32,37,85,47,83,88,47
34,72,51,30,50,0,9
20,66,41,10,24,26,39
74,58,21,29,43,97,99
88,19,48,43,81,1,55
47,43,69,18,37,51,69
69,17,31,13,37,48,56
74,2,7,47,10,37,39
54,59,67,38,72,83,8
9,15,59,77,32,38,72
21,26,13,2,9,34,96
59,53,75,11,45,25,93
63,73,52,10,55,61,84
40,23,74,74,54,22,60
3,95,99,94,71,6,13
15,59,27,41,23,18,4
98,9,28,34,39,36,83
65,57,73,52,20,3,29
14,29,37,75,35,59,98
3,46,19,88,64,24,99
34,15,28,10,91,42,46
15,58,83,51,31,41,94
94,1,1,28,65,24,79
93,94,13,81,68,63,50
50,59,38,58,37,39,76
5,36,18,98,16,31,31
74,39,37,72,54,58,38
74,40,16,20,45,7,46
10,35,2,74,4,89,4
19,50,87,13,18,7,46
44,75,53,62,0,60,58
78,49,0,10,34,17,44
27,6,22,23,25,9,71
63,13,58,98,7,39,21
25,27,13,42,25,64,53
55,91,2,82,29,41,47
31,3,70,47,67,29,82
23,46,16,99,99,68,13
32,5,0,70,44,54,36
65,91,6,86,46,81,74
76,29,72,10,79,15,98
68,79,78,60,93,2,84
13,96,17,50,1,53,72
